"";"X64.242.88.10......07.Mar.2004.16.05.49..0800.";"GET..twiki.bin.edit.Main.Double_bounce_sender.topicparent.Main.ConfigurationVariables.HTTP.1.1";"X401.12846"
"1";"64.242.88.10 - - [07/Mar/2004:16:05:49 -0800]  ";" 8 , 41 , 349 ";"  401 12846"
"2";"64.242.88.10 - - [07/Mar/2004:16:06:51 -0800] ";"GET /twiki/bin/rdiff/TWiki/NewUserTemplate?rev1=1.3&rev2=1.2 HTTP/1.1";" 200 4523"
"3";"64.242.88.10 - - [07/Mar/2004:16:06:51 -0800]  ";" 7 , 54 , 873 ";"  200 4523"
"4";"64.242.88.10 - - [07/Mar/2004:16:10:02 -0800] ";"GET /mailman/listinfo/hsdivision HTTP/1.1";" 200 6291"
"5";"64.242.88.10 - - [07/Mar/2004:16:10:02 -0800]  ";" 5 , 90 , 584 ";"  200 6291"
"6";"64.242.88.10 - - [07/Mar/2004:16:11:58 -0800] ";"GET /twiki/bin/view/TWiki/WikiSyntax HTTP/1.1";" 200 7352"
"7";"64.242.88.10 - - [07/Mar/2004:16:11:58 -0800]  ";" 9 , 27 , 826 ";"  200 7352"
"8";"64.242.88.10 - - [07/Mar/2004:16:20:55 -0800] ";"GET /twiki/bin/view/Main/DCCAndPostFix HTTP/1.1";" 200 5253"
"9";"64.242.88.10 - - [07/Mar/2004:16:20:55 -0800]  ";" 3 , 46 , 949 ";"  200 5253"
"10";"64.242.88.10 - - [07/Mar/2004:16:23:12 -0800] ";"GET /twiki/bin/oops/TWiki/AppendixFileSystem?template=oopsmore&param1=1.12&param2=1.12 HTTP/1.1";" 200 11382"
"11";"64.242.88.10 - - [07/Mar/2004:16:23:12 -0800]  ";" 2 , 94 , 484 ";"  200 11382"
"12";"64.242.88.10 - - [07/Mar/2004:16:24:16 -0800] ";"GET /twiki/bin/view/Main/PeterThoeny HTTP/1.1";" 200 4924"
"13";"64.242.88.10 - - [07/Mar/2004:16:24:16 -0800]  ";" 4 , 11 , 641 ";"  200 4924"
"14";"64.242.88.10 - - [07/Mar/2004:16:29:16 -0800] ";"GET /twiki/bin/edit/Main/Header_checks?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12851"
"15";"64.242.88.10 - - [07/Mar/2004:16:29:16 -0800]  ";" 6 , 74 , 756 ";"  401 12851"
"16";"64.242.88.10 - - [07/Mar/2004:16:30:29 -0800] ";"GET /twiki/bin/attach/Main/OfficeLocations HTTP/1.1";" 401 12851"
"17";"64.242.88.10 - - [07/Mar/2004:16:30:29 -0800]  ";" 8 , 11 , 444 ";"  401 12851"
"18";"64.242.88.10 - - [07/Mar/2004:16:31:48 -0800] ";"GET /twiki/bin/view/TWiki/WebTopicEditTemplate HTTP/1.1";" 200 3732"
"19";"64.242.88.10 - - [07/Mar/2004:16:31:48 -0800]  ";" 9 , 29 , 421 ";"  200 3732"
"20";"64.242.88.10 - - [07/Mar/2004:16:32:50 -0800] ";"GET /twiki/bin/view/Main/WebChanges HTTP/1.1";" 200 40520"
"21";"64.242.88.10 - - [07/Mar/2004:16:32:50 -0800]  ";" 6 , 49 , 929 ";"  200 40520"
"22";"64.242.88.10 - - [07/Mar/2004:16:33:53 -0800] ";"GET /twiki/bin/edit/Main/Smtpd_etrn_restrictions?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12851"
"23";"64.242.88.10 - - [07/Mar/2004:16:33:53 -0800]  ";" 7 , 88 , 372 ";"  401 12851"
"24";"64.242.88.10 - - [07/Mar/2004:16:35:19 -0800] ";"GET /mailman/listinfo/business HTTP/1.1";" 200 6379"
"25";"64.242.88.10 - - [07/Mar/2004:16:35:19 -0800]  ";" 7 , 42 , 499 ";"  200 6379"
"26";"64.242.88.10 - - [07/Mar/2004:16:36:22 -0800] ";"GET /twiki/bin/rdiff/Main/WebIndex?rev1=1.2&rev2=1.1 HTTP/1.1";" 200 46373"
"27";"64.242.88.10 - - [07/Mar/2004:16:36:22 -0800]  ";" 5 , 15 , 305 ";"  200 46373"
"28";"64.242.88.10 - - [07/Mar/2004:16:37:27 -0800] ";"GET /twiki/bin/view/TWiki/DontNotify HTTP/1.1";" 200 4140"
"29";"64.242.88.10 - - [07/Mar/2004:16:37:27 -0800]  ";" 4 , 80 , 303 ";"  200 4140"
"30";"64.242.88.10 - - [07/Mar/2004:16:39:24 -0800] ";"GET /twiki/bin/view/Main/TokyoOffice HTTP/1.1";" 200 3853"
"31";"64.242.88.10 - - [07/Mar/2004:16:39:24 -0800]  ";" 6 , 99 , 536 ";"  200 3853"
"32";"64.242.88.10 - - [07/Mar/2004:16:43:54 -0800] ";"GET /twiki/bin/view/Main/MikeMannix HTTP/1.1";" 200 3686"
"33";"64.242.88.10 - - [07/Mar/2004:16:43:54 -0800]  ";" 9 , 96 , 6 ";"  200 3686"
"34";"64.242.88.10 - - [07/Mar/2004:16:45:56 -0800] ";"GET /twiki/bin/attach/Main/PostfixCommands HTTP/1.1";" 401 12846"
"35";"64.242.88.10 - - [07/Mar/2004:16:45:56 -0800]  ";" 9 , 38 , 273 ";"  401 12846"
"36";"64.242.88.10 - - [07/Mar/2004:16:47:12 -0800] ";"GET /robots.txt HTTP/1.1";" 200 68"
"37";"64.242.88.10 - - [07/Mar/2004:16:47:12 -0800]  ";" 1 , 57 , 36 ";"  200 68"
"38";"64.242.88.10 - - [07/Mar/2004:16:47:46 -0800] ";"GET /twiki/bin/rdiff/Know/ReadmeFirst?rev1=1.5&rev2=1.4 HTTP/1.1";" 200 5724"
"39";"64.242.88.10 - - [07/Mar/2004:16:47:46 -0800]  ";" 8 , 2 , 70 ";"  200 5724"
"40";"64.242.88.10 - - [07/Mar/2004:16:49:04 -0800] ";"GET /twiki/bin/view/Main/TWikiGroups?rev=1.2 HTTP/1.1";" 200 5162"
"41";"64.242.88.10 - - [07/Mar/2004:16:49:04 -0800]  ";" 4 , 55 , 494 ";"  200 5162"
"42";"64.242.88.10 - - [07/Mar/2004:16:50:54 -0800] ";"GET /twiki/bin/rdiff/Main/ConfigurationVariables HTTP/1.1";" 200 59679"
"43";"64.242.88.10 - - [07/Mar/2004:16:50:54 -0800]  ";" 2 , 80 , 68 ";"  200 59679"
"44";"64.242.88.10 - - [07/Mar/2004:16:52:35 -0800] ";"GET /twiki/bin/edit/Main/Flush_service_name?topicparent=Main.ConfigurationVariables HTTP/1.1";" 401 12851"
"45";"64.242.88.10 - - [07/Mar/2004:16:52:35 -0800]  ";" 6 , 22 , 629 ";"  401 12851"
"46";"64.242.88.10 - - [07/Mar/2004:16:53:46 -0800] ";"GET /twiki/bin/rdiff/TWiki/TWikiRegistration HTTP/1.1";" 200 34395"
"47";"64.242.88.10 - - [07/Mar/2004:16:53:46 -0800]  ";" 9 , 23 , 534 ";"  200 34395"
"48";"64.242.88.10 - - [07/Mar/2004:16:54:55 -0800] ";"GET /twiki/bin/rdiff/Main/NicholasLee HTTP/1.1";" 200 7235"
"49";"64.242.88.10 - - [07/Mar/2004:16:54:55 -0800]  ";" 2 , 29 , 160 ";"  200 7235"
"50";"64.242.88.10 - - [07/Mar/2004:16:56:39 -0800] ";"GET /twiki/bin/view/Sandbox/WebHome?rev=1.6 HTTP/1.1";" 200 8545"
"51";"64.242.88.10 - - [07/Mar/2004:16:56:39 -0800]  ";" 6 , 34 , 685 ";"  200 8545"
"52";"64.242.88.10 - - [07/Mar/2004:16:58:54 -0800] ";"GET /mailman/listinfo/administration HTTP/1.1";" 200 6459"
"53";"64.242.88.10 - - [07/Mar/2004:16:58:54 -0800]  ";" 6 , 30 , 899 ";"  200 6459"
"54";"lordgun.org - - [07/Mar/2004:17:01:53 -0800] ";"GET /razor.html HTTP/1.1";" 200 2869"
"55";"lordgun.org - - [07/Mar/2004:17:01:53 -0800]  ";" 3 , 8 , 893 ";"  200 2869"
"56";"64.242.88.10 - - [07/Mar/2004:17:09:01 -0800] ";"GET /twiki/bin/search/Main/SearchResult?scope=text&regex=on&search=Joris%20*Benschop[^A-Za-z] HTTP/1.1";" 200 4284"
"57";"64.242.88.10 - - [07/Mar/2004:17:09:01 -0800]  ";" 3 , 89 , 776 ";"  200 4284"
"58";"64.242.88.10 - - [07/Mar/2004:17:10:20 -0800] ";"GET /twiki/bin/oops/TWiki/TextFormattingRules?template=oopsmore&param1=1.37&param2=1.37 HTTP/1.1";" 200 11400"
"59";"64.242.88.10 - - [07/Mar/2004:17:10:20 -0800]  ";" 3 , 14 , 401 ";"  200 11400"
"60";"64.242.88.10 - - [07/Mar/2004:17:13:50 -0800] ";"GET /twiki/bin/edit/TWiki/DefaultPlugin?t=1078688936 HTTP/1.1";" 401 12846"
"61";"64.242.88.10 - - [07/Mar/2004:17:13:50 -0800]  ";" 9 , 48 , 835 ";"  401 12846"
"62";"64.242.88.10 - - [07/Mar/2004:17:16:00 -0800] ";"GET /twiki/bin/search/Main/?scope=topic&regex=on&search=^g HTTP/1.1";" 200 3675"
"63";"64.242.88.10 - - [07/Mar/2004:17:16:00 -0800]  ";" 6 , 44 , 649 ";"  200 3675"
"64";"64.242.88.10 - - [07/Mar/2004:17:17:27 -0800] ";"GET /twiki/bin/search/TWiki/?scope=topic&regex=on&search=^d HTTP/1.1";" 200 5773"
"65";"64.242.88.10 - - [07/Mar/2004:17:17:27 -0800]  ";" 2 , 60 , 526 ";"  200 5773"
"66";"lj1036.inktomisearch.com - - [07/Mar/2004:17:18:36 -0800] ";"GET /robots.txt HTTP/1.0";" 200 68"
"67";"lj1036.inktomisearch.com - - [07/Mar/2004:17:18:36 -0800]  ";" 3 , 94 , 653 ";"  200 68"
"68";"lj1090.inktomisearch.com - - [07/Mar/2004:17:18:41 -0800] ";"GET /twiki/bin/view/Main/LondonOffice HTTP/1.0";" 200 3860"
"69";"lj1090.inktomisearch.com - - [07/Mar/2004:17:18:41 -0800]  ";" 7 , 76 , 413 ";"  200 3860"
"70";"64.242.88.10 - - [07/Mar/2004:17:21:44 -0800] ";"GET /twiki/bin/attach/TWiki/TablePlugin HTTP/1.1";" 401 12846"
"71";"64.242.88.10 - - [07/Mar/2004:17:21:44 -0800]  ";" 1 , 53 , 918 ";"  401 12846"
